"filename", "language", "C++", "CMake", "Dart", "JSON", "Markdown", "HTML", "Swift", "YAML", "XML", "Properties", "comment", "blank", "total"
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\lib\screens\bloques\bloque_create_screen.dart", "Dart", 0, 0, 289, 0, 0, 0, 0, 0, 0, 0, 29, 34, 352
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\lib\screens\bloques\bloque_detail_screen.dart", "Dart", 0, 0, 337, 0, 0, 0, 0, 0, 0, 0, 63, 54, 454
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\lib\screens\bloques\bloque_edit_screen.dart", "Dart", 0, 0, 199, 0, 0, 0, 0, 0, 0, 0, 26, 35, 260
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\lib\screens\bloques\bloque_list_screen.dart", "Dart", 0, 0, 215, 0, 0, 0, 0, 0, 0, 0, 50, 33, 298
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\lib\screens\entity_form_screen.dart", "Dart", 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 33, 29, 246
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\lib\screens\entity_list_screen.dart", "Dart", 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 16, 15, 178
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\lib\screens\farm_structure_management_screen.dart", "Dart", 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 20, 21, 203
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\lib\screens\fincas\FincaEditScreen.dart", "Dart", 0, 0, 270, 0, 0, 0, 0, 0, 0, 0, 5, 27, 302
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\lib\screens\fincas\finca_create_screen.dart", "Dart", 0, 0, 398, 0, 0, 0, 0, 0, 0, 0, 53, 46, 497
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\lib\screens\fincas\finca_delete_screen.dart", "Dart", 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 15, 190
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\lib\screens\fincas\finca_detail_screen.dart", "Dart", 0, 0, 315, 0, 0, 0, 0, 0, 0, 0, 38, 38, 391
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\lib\screens\fincas\finca_edit_screen.dart", "Dart", 0, 0, 256, 0, 0, 0, 0, 0, 0, 0, 20, 28, 304
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\lib\screens\fincas\finca_list_edit_screen.dart", "Dart", 0, 0, 300, 0, 0, 0, 0, 0, 0, 0, 51, 31, 382
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\lib\screens\fincas\finca_list_screen.dart", "Dart", 0, 0, 180, 0, 0, 0, 0, 0, 0, 0, 25, 25, 230
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\lib\screens\fincas\finca_register_screen.dart", "Dart", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 9, 109
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\lib\screens\home\components\dark_theme.dart", "Dart", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\lib\screens\home\components\feature_card.dart", "Dart", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 9, 7, 78
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\lib\screens\home\components\role_features.dart", "Dart", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 14, 6, 89
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\lib\screens\home\home_screen.dart", "Dart", 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 6, 125
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\lib\screens\home\records_menu_screen.dart", "Dart", 0, 0, 250, 0, 0, 0, 0, 0, 0, 0, 38, 23, 311
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\lib\screens\home\theme\dark_theme.dart", "Dart", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 3, 35
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\lib\screens\login_screen.dart", "Dart", 0, 0, 320, 0, 0, 0, 0, 0, 0, 0, 4, 31, 355
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\lib\screens\profile_screen.dart", "Dart", 0, 0, 305, 0, 0, 0, 0, 0, 0, 0, 0, 20, 325
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\lib\screens\register_screen.dart", "Dart", 0, 0, 266, 0, 0, 0, 0, 0, 0, 0, 7, 27, 300
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\lib\services\api_service.dart", "Dart", 0, 0, 335, 0, 0, 0, 0, 0, 0, 0, 30, 55, 420
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\lib\services\area_service.dart", "Dart", 0, 0, 181, 0, 0, 0, 0, 0, 0, 0, 46, 36, 263
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\lib\services\bloques_service.dart", "Dart", 0, 0, 215, 0, 0, 0, 0, 0, 0, 0, 46, 41, 302
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\lib\services\finca_service.dart", "Dart", 0, 0, 207, 0, 0, 0, 0, 0, 0, 0, 38, 35, 280
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\linux\CMakeLists.txt", "CMake", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 129
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\linux\flutter\CMakeLists.txt", "CMake", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\linux\runner\CMakeLists.txt", "CMake", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\linux\runner\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\linux\runner\my_application.cc", "C++", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 29, 145
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\linux\runner\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
